#  t        fx         fy         fz    f_spring
 240.00    -20.37      0.12     -1.60     20.47
 280.00    -18.06     -0.39      0.99     18.32
 320.00    -14.57     -1.70     -0.18     15.37
 360.00    -22.65     -0.06     -1.37     22.94
 400.00    -19.41     -2.42     -0.11     19.71
 440.00    -18.67     -0.57     -2.00     18.87
 480.00    -15.25      3.78      1.81     15.93
 520.00     -7.88     -0.01      0.80      7.96
 560.00    -19.57     -2.66     -0.67     20.47
 600.00    -17.79      0.60      0.78     18.86
 640.00    -16.30      2.19      1.17     16.92
 680.00    -18.48     -0.08     -1.76     18.77
 720.00     -8.53      0.30      2.13     10.25
 760.00     -7.80     -1.06      0.97      9.49
 800.00    -10.63     -2.04     -1.41     12.28
 840.00    -11.89     -0.19     -0.22     12.62
 880.00    -23.98     -2.45     -0.75     24.22
 920.00    -43.12     -1.31      1.34     43.19
 960.00    -33.57      1.27      2.19     33.82
1000.00    -23.99      0.51      0.93     24.07
1040.00    -16.52     -1.24     -1.44     16.68
1080.00    -11.14      0.83      0.14     11.44
1120.00    -30.39      1.33     -1.54     31.34
1160.00    -13.46     -1.94      0.50     13.85
1200.00    -15.36     -0.63     -0.42     15.91
1240.00    -12.39      1.59      3.10     14.29
