#  t        fx         fy         fz    f_spring
 240.00    -14.03     -0.46     -1.93     14.29
 280.00     -8.67      1.54      0.15      9.62
 320.00    -13.43      0.74     -0.54     13.67
 360.00    -11.78      1.02      1.56     13.28
 400.00     -5.95     -1.02     -2.73      7.61
 440.00     -6.34      2.57      4.31      9.35
 480.00    -10.88     -2.28     -0.01     11.99
 520.00    -12.61      2.20      0.59     13.55
 560.00     -9.17      1.14      0.78     11.78
 600.00     -7.18     -1.02     -0.98      7.76
 640.00    -11.40      0.52     -0.59     12.79
 680.00     -4.73      3.01     -1.17      5.98
 720.00     -6.67      0.77      0.75      7.48
 760.00    -11.65     -1.69     -2.49     12.06
 800.00     -8.90      2.34     -0.29      9.63
 840.00    -19.51      0.99      0.28     19.63
 880.00    -11.42      0.82     -2.62     12.55
 920.00    -22.71      0.93     -0.67     24.19
 960.00     -7.97     -0.10     -2.82      9.27
1000.00    -17.84     -0.39     -0.48     19.08
1040.00    -18.16      0.42      0.08     18.77
1080.00    -15.56     -0.41      1.58     17.14
1120.00    -12.61     -2.29      1.27     13.02
1160.00    -18.14      2.42      1.29     18.42
1200.00    -20.00     -1.83     -0.60     20.81
1240.00    -14.01      0.01     -1.70     15.14
1280.00     -9.92      0.86     -0.98     10.30
1320.00    -11.63      0.93     -0.50     12.33
1360.00    -25.39     -6.43      0.36     28.11
